Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID
2024,1,NY,New York,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,2003-03-26,2003-07-24,"(42.82700103200045, -75.54397042699964)",10GRP,65
2024,1,OH,Ohio,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Banned,4,Ranking,2006-11-07,2006-12-07,"(40.06021014100048, -82.40426005599966)",15GRP,231
2010,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,233
2024,1,VI,U.S. Virgin Islands,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Substance Use - Outpatient Facilities,Banned,4,Ranking,2010-05-10,2010-11-10,"(18.335765, -64.896335)",15GRP,338
2024,1,NJ,New Jersey,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Banned,4,Ranking,2006-01-15,2006-04-15,"(40.13057004800049, -74.27369128799967)",10GRP,20
2024,1,MI,Michigan,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Banned,4,Ranking,2009-12-18,2010-05-01,"(44.6613195430005, -84.71439026999968)",15GRP,98
2024,1,TN,Tennessee,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Banned,4,Ranking,2007-06-11,2007-10-01,"(35.68094058000048, -85.77449091399967)",10GRP,1
2017,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Hotels and Motels,Additional Requirements,Sleeping Room Designation (Type),Smoking Room,3,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",20GRP,83
2020,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,99
2017,3,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Prisons,Banned,4,Ranking,2008-02-26,2009-06-01,"(41.6410409880005, -99.36572062299967)",15GRP,101
2024,1,AR,Arkansas,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,2006-04-07,2006-07-21,"(34.74865012400045, -92.27449074299966)",10GRP,50
2024,1,GA,Georgia,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Designated Areas,3,Ranking,2005-05-09,2005-07-01,"(32.83968109300048, -83.62758034599966)",15GRP,233
